location,year,compound,concentration_ng_l,type,total_pfas_ng_l,reference,region,dataset
"Ganga River, India",2014,PFDA,0.09,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFDoDA,0.04,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFTrDA,0.02,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFHxS,0.3,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFOS,0.7,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFDS,0.04,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFOSA,0.06,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2008,PFNA,0.08,emerging,18.737,"Yeung, L. W. Y., Yamashita, N., Taniyasu, S., Lam, P. K. S., Sinha, R. K., Borole, D. V., & Kannan, K. (2009). A survey of perfluorinated compounds in surface water and biota including dolphins from the Ganges River and in other waterbodies in India. Chemosphere, 76(1), 55–62. https://doi.org/10.1016/j.chemosphere.2009.02.055",Inland / Freshwater,inland
"Ganga River, India",2008,PFHxA,0.45,,18.737,"Yeung, L. W. Y., Yamashita, N., Taniyasu, S., Lam, P. K. S., Sinha, R. K., Borole, D. V., & Kannan, K. (2009). A survey of perfluorinated compounds in surface water and biota including dolphins from the Ganges River and in other waterbodies in India. Chemosphere, 76(1), 55–62. https://doi.org/10.1016/j.chemosphere.2009.02.055",Inland / Freshwater,inland
"Ganga River, India",2008,PFPeA,0.32,,18.737,"Yeung, L. W. Y., Yamashita, N., Taniyasu, S., Lam, P. K. S., Sinha, R. K., Borole, D. V., & Kannan, K. (2009). A survey of perfluorinated compounds in surface water and biota including dolphins from the Ganges River and in other waterbodies in India. Chemosphere, 76(1), 55–62. https://doi.org/10.1016/j.chemosphere.2009.02.055",Inland / Freshwater,inland
"Ganga River, India",2008,PFOS,3.179,legacy,18.737,"Yeung, L. W. Y., Yamashita, N., Taniyasu, S., Lam, P. K. S., Sinha, R. K., Borole, D. V., & Kannan, K. (2009). A survey of perfluorinated compounds in surface water and biota including dolphins from the Ganges River and in other waterbodies in India. Chemosphere, 76(1), 55–62. https://doi.org/10.1016/j.chemosphere.2009.02.055",Inland / Freshwater,inland
"Ganga River, India",2008,PFDA,0.118,,18.737,"Yeung, L. W. Y., Yamashita, N., Taniyasu, S., Lam, P. K. S., Sinha, R. K., Borole, D. V., & Kannan, K. (2009). A survey of perfluorinated compounds in surface water and biota including dolphins from the Ganges River and in other waterbodies in India. Chemosphere, 76(1), 55–62. https://doi.org/10.1016/j.chemosphere.2009.02.055",Inland / Freshwater,inland
"Ganga River, India",2008,PFOA,14.59,,18.737,"Yeung, L. W. Y., Yamashita, N., Taniyasu, S., Lam, P. K. S., Sinha, R. K., Borole, D. V., & Kannan, K. (2009). A survey of perfluorinated compounds in surface water and biota including dolphins from the Ganges River and in other waterbodies in India. Chemosphere, 76(1), 55–62. https://doi.org/10.1016/j.chemosphere.2009.02.055",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,PFHxA,2.02,emerging,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,PFHpA,0.95,,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,PFBS,0.17,,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,OTHERS,14.93,,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,PFPeA,16.64,,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,PFPeS,0.07,,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,PFBA,4.96,legacy,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,PFOA,4.65,,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,PFHxS,0.16,,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2022,PFOS,0.31,,44.86,"An, X., Lei, H., Lu, Y., Xie, X., Wang, P., Liao, J., Liang, Z., Sun, B., & Wu, Z. (2023). Per- and polyfluoroalkyl substances (PFASs) in water and sediment from a temperate watershed in China: Occurrence, sources, and ecological risks. Science of The Total Environment, 890, 164207. https://doi.org/10.1016/j.scitotenv.2023.164207",Inland / Freshwater,inland
"Jiulong River (JLR), China",2017,PFBS,5.18,emerging,44.98,"Wang, S., Ma, L., Chen, C., Li, Y., Wu, Y., Liu, Y., Dou, Z., Yamazaki, E., Yamashita, N., Lin, B.-L., & Wang, X. (2020). Occurrence and partitioning behavior of per- and polyfluoroalkyl substances (PFASs) in water and sediment from the Jiulong Estuary-Xiamen Bay, China. Chemosphere, 238, 124578. https://doi.org/10.1016/j.chemosphere.2019.124578",Inland / Freshwater,inland
"Jiulong River (JLR), China",2017,PFHpS,1.31,,44.98,"Wang, S., Ma, L., Chen, C., Li, Y., Wu, Y., Liu, Y., Dou, Z., Yamazaki, E., Yamashita, N., Lin, B.-L., & Wang, X. (2020). Occurrence and partitioning behavior of per- and polyfluoroalkyl substances (PFASs) in water and sediment from the Jiulong Estuary-Xiamen Bay, China. Chemosphere, 238, 124578. https://doi.org/10.1016/j.chemosphere.2019.124578",Inland / Freshwater,inland
"Jiulong River (JLR), China",2017,PFHxA,3.39,,44.98,"Wang, S., Ma, L., Chen, C., Li, Y., Wu, Y., Liu, Y., Dou, Z., Yamazaki, E., Yamashita, N., Lin, B.-L., & Wang, X. (2020). Occurrence and partitioning behavior of per- and polyfluoroalkyl substances (PFASs) in water and sediment from the Jiulong Estuary-Xiamen Bay, China. Chemosphere, 238, 124578. https://doi.org/10.1016/j.chemosphere.2019.124578",Inland / Freshwater,inland
"Jiulong River (JLR), China",2017,PFHpA,0.91,,44.98,"Wang, S., Ma, L., Chen, C., Li, Y., Wu, Y., Liu, Y., Dou, Z., Yamazaki, E., Yamashita, N., Lin, B.-L., & Wang, X. (2020). Occurrence and partitioning behavior of per- and polyfluoroalkyl substances (PFASs) in water and sediment from the Jiulong Estuary-Xiamen Bay, China. Chemosphere, 238, 124578. https://doi.org/10.1016/j.chemosphere.2019.124578",Inland / Freshwater,inland
"Jiulong River (JLR), China",2017,PFPeA,3.31,,44.98,"Wang, S., Ma, L., Chen, C., Li, Y., Wu, Y., Liu, Y., Dou, Z., Yamazaki, E., Yamashita, N., Lin, B.-L., & Wang, X. (2020). Occurrence and partitioning behavior of per- and polyfluoroalkyl substances (PFASs) in water and sediment from the Jiulong Estuary-Xiamen Bay, China. Chemosphere, 238, 124578. https://doi.org/10.1016/j.chemosphere.2019.124578",Inland / Freshwater,inland
"Jiulong River (JLR), China",2017,PFHxS,0.63,legacy,44.98,"Wang, S., Ma, L., Chen, C., Li, Y., Wu, Y., Liu, Y., Dou, Z., Yamazaki, E., Yamashita, N., Lin, B.-L., & Wang, X. (2020). Occurrence and partitioning behavior of per- and polyfluoroalkyl substances (PFASs) in water and sediment from the Jiulong Estuary-Xiamen Bay, China. Chemosphere, 238, 124578. https://doi.org/10.1016/j.chemosphere.2019.124578",Inland / Freshwater,inland
"Jiulong River (JLR), China",2017,PFOS,12.7,,44.98,"Wang, S., Ma, L., Chen, C., Li, Y., Wu, Y., Liu, Y., Dou, Z., Yamazaki, E., Yamashita, N., Lin, B.-L., & Wang, X. (2020). Occurrence and partitioning behavior of per- and polyfluoroalkyl substances (PFASs) in water and sediment from the Jiulong Estuary-Xiamen Bay, China. Chemosphere, 238, 124578. https://doi.org/10.1016/j.chemosphere.2019.124578",Inland / Freshwater,inland
"Jiulong River (JLR), China",2017,PFBA,16.41,,44.98,"Wang, S., Ma, L., Chen, C., Li, Y., Wu, Y., Liu, Y., Dou, Z., Yamazaki, E., Yamashita, N., Lin, B.-L., & Wang, X. (2020). Occurrence and partitioning behavior of per- and polyfluoroalkyl substances (PFASs) in water and sediment from the Jiulong Estuary-Xiamen Bay, China. Chemosphere, 238, 124578. https://doi.org/10.1016/j.chemosphere.2019.124578",Inland / Freshwater,inland
"Jiulong River (JLR), China",2017,PFOA,1.14,,44.98,"Wang, S., Ma, L., Chen, C., Li, Y., Wu, Y., Liu, Y., Dou, Z., Yamazaki, E., Yamashita, N., Lin, B.-L., & Wang, X. (2020). Occurrence and partitioning behavior of per- and polyfluoroalkyl substances (PFASs) in water and sediment from the Jiulong Estuary-Xiamen Bay, China. Chemosphere, 238, 124578. https://doi.org/10.1016/j.chemosphere.2019.124578",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFHxA,6.17,emerging,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFHpA,0.45,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFNA,0.33,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFBS,0.98,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFPeA,0.57,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFBA,5.92,legacy,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFOA,3.58,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFDA,0.29,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFUnA,0.04,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFDoA,0.04,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFHxS,0.63,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Jiulong River (JLR), China",2014,PFOS,11.21,,30.21,"Cai, Y., Wang, X., Wu, Y., Zhao, S., Li, Y., Ma, L., Chen, C., Huang, J., & Yu, G. (2018). Temporal trends and transport of perfluoroalkyl substances (PFASs) in a subtropical estuary: Jiulong River Estuary, Fujian, China. Science of the Total Environment, 639, 263–270. https://doi.org/10.1016/j.scitotenv.2018.05.042",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFHxA,11.5,emerging,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFHpA,4.3,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFNA,1.3,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFBS,2.8,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFHpS,0.1,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,6:2 FTS,3.2,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFPeA,9.8,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFPeS,0.3,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,N-MeFOSAA,0.1,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFBA,13.4,legacy,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFOA,10.3,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFDA,2.6,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFDoA,0.2,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFTeDA,0.0,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFHxS,4.3,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFOS,14.3,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2020,PFOSA,0.1,,78.6,"Paige, T., De Silva, T., Buddhadasa, S., Prasad, S., Nugegoda, D., & Pettigrove, V. (2024). Background concentrations and spatial distribution of PFAS in surface waters and sediments of the greater Melbourne area, Australia. Chemosphere, 349, 140791. https://doi.org/10.1016/j.chemosphere.2023.140791",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2017,6:2 FTS,1.3,emerging,38.11,"Szabo, D., Coggan, T. L., Robson, T. C., Currell, M., & Clarke, B. O. (2018). Investigating recycled water use as a diffuse source of per- and polyfluoroalkyl substances (PFASs) to groundwater in Melbourne, Australia. Science of The Total Environment, 644, 1409-1417. https://doi.org/10.1016/j.scitotenv.2018.07.048",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2017,PFBS,4.4,,38.11,"Szabo, D., Coggan, T. L., Robson, T. C., Currell, M., & Clarke, B. O. (2018). Investigating recycled water use as a diffuse source of per- and polyfluoroalkyl substances (PFASs) to groundwater in Melbourne, Australia. Science of The Total Environment, 644, 1409-1417. https://doi.org/10.1016/j.scitotenv.2018.07.048",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2017,PFNA,0.4,,38.11,"Szabo, D., Coggan, T. L., Robson, T. C., Currell, M., & Clarke, B. O. (2018). Investigating recycled water use as a diffuse source of per- and polyfluoroalkyl substances (PFASs) to groundwater in Melbourne, Australia. Science of The Total Environment, 644, 1409-1417. https://doi.org/10.1016/j.scitotenv.2018.07.048",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2017,PFHpA,0.8,,38.11,"Szabo, D., Coggan, T. L., Robson, T. C., Currell, M., & Clarke, B. O. (2018). Investigating recycled water use as a diffuse source of per- and polyfluoroalkyl substances (PFASs) to groundwater in Melbourne, Australia. Science of The Total Environment, 644, 1409-1417. https://doi.org/10.1016/j.scitotenv.2018.07.048",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2017,PFHxA,3.7,,38.11,"Szabo, D., Coggan, T. L., Robson, T. C., Currell, M., & Clarke, B. O. (2018). Investigating recycled water use as a diffuse source of per- and polyfluoroalkyl substances (PFASs) to groundwater in Melbourne, Australia. Science of The Total Environment, 644, 1409-1417. https://doi.org/10.1016/j.scitotenv.2018.07.048",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2017,PFPeA,1.0,,38.11,"Szabo, D., Coggan, T. L., Robson, T. C., Currell, M., & Clarke, B. O. (2018). Investigating recycled water use as a diffuse source of per- and polyfluoroalkyl substances (PFASs) to groundwater in Melbourne, Australia. Science of The Total Environment, 644, 1409-1417. https://doi.org/10.1016/j.scitotenv.2018.07.048",Inland / Freshwater,inland
"Greater Melbourne Area, Australia",2017,PFPeS,1.0,,38.11,"Szabo, D., Coggan, T. L., Robson, T. C., Currell, M., & Clarke, B. O. (2018). Investigating recycled water use as a diffuse source of per- and polyfluoroalkyl substances (PFASs) to groundwater in Melbourne, Australia. Science of The Total Environment, 644, 1409-1417. https://doi.org/10.1016/j.scitotenv.2018.07.048",Inland / Freshwater,inland
